name,gender,age_group,hobbies,pref_age_group,pref_hobbies,animal,group_id,route_no
えり,女性,30代前半,"美術館巡り, 映画鑑賞","30代後半, 20代後半","映画鑑賞, 旅行",チーター,1,4
まこと,男性,20代後半,"読書, 歴史探訪","20代前半, 20代後半","読書, 映画鑑賞, 美術館巡り, 歴史探訪",チーター,1,4
みほ,女性,40代,"読書, 美術館巡り","30代前半, 30代後半","音楽鑑賞, 美術館巡り",アカカンガルー,1,4
りな,女性,30代前半,"アウトドア, カメラ","20代後半, 30代前半","アウトドア, カメラ",タスマニアデビル,1,4
さくら,男性,20代前半,"読書, 料理","20代前半, 20代後半","読書, 旅行",コアラ,2,5
しょうた,男性,30代前半,"ゲーム, カメラ","30代前半, 30代後半","映画鑑賞, 旅行",インドサイ,2,5
たくや,男性,20代前半,"アウトドア, 旅行","20代前半, 20代後半","スポーツ, キャンプ",インドサイ,2,5
まい,女性,20代後半,"音楽鑑賞, スポーツ","30代前半, 30代後半, 40代","スポーツ, 映画鑑賞",アカカンガルー,2,5
あやか,女性,40代,"料理, 美術館巡り","40代, 50代","旅行, 美術館巡り",コアラ,3,2
けんた,男性,30代前半,"スポーツ, 映画鑑賞, ゲーム",20代後半,スポーツ,オラウータン,3,2
だいき,男性,50代,"スポーツ, ゲーム","50代, 40代","料理, 美術館巡り",ライオン,3,2
なおみ,女性,30代後半,"スポーツ, アウトドア","30代前半, 30代後半","旅行, キャンプ",インドサイ,3,2
こうすけ,男性,30代後半,"旅行, アウトドア","20代後半, 20代前半","アウトドア, キャンプ",ライオン,4,1
みゆき,女性,20代後半,"料理, 旅行","20代前半, 20代後半, 30代前半","旅行, カメラ",オラウータン,4,1
ゆうた,男性,20代後半,"旅行, 音楽鑑賞","20代後半, 20代前半",音楽鑑賞,タイリクオオカミ,4,1
かな,女性,20代後半,"音楽鑑賞, 映画鑑賞","30代前半, 30代後半","映画鑑賞, 美術館巡り",コツメカワウソ,5,3
ひろき,男性,30代後半,"アウトドア, カメラ","30代前半, 20代後半","カメラ, 旅行",タスマニアデビル,5,3
ゆかり,女性,30代後半,"旅行, カメラ","30代前半, 30代後半, 40代","旅行, アウトドア",アカカンガルー,5,3
けんじ,男性,40代,"読書, 音楽鑑賞","30代前半, 30代後半","料理, 美術館巡り",ライオン,6,4
しんじ,男性,20代前半,"スポーツ, 音楽鑑賞",20代前半,"旅行, スポーツ",ワライカワセミ,6,4
りょう,男性,40代,"料理, カメラ","30代前半, 20代後半","旅行, 料理, 美術館巡り",コツメカワウソ,6,4
